GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52
0500000US24027,24027,"Howard County, Maryland",155589,3803,138487,4174,126034,4057,12453,2467,10412,2233,975,508,1066,740,6101,1329,2592,835,0,204,1183,542,2326,841,0,204,70,118,1091,563,930,513,8910,2059,81166,2168,71116,2803,64841,2620,6275,1286,5273,1221,544,331,458,327,4230,1151,1490,655,0,204,790,413,1950,801,0,204,0,204,799,436,484,260,4537,1761,74423,3117,67371,2893,61193,2921,6178,1492,5139,1375,431,309,608,496,1871,614,1102,493,0,204,393,318,376,291,0,204,70,118,292,281,446,453,4373,1020
0500000US24031,24031,"Montgomery County, Maryland",516545,6256,388707,7451,338855,7138,49852,4728,38538,3868,6601,1708,4713,1620,81569,5057,25702,3456,100,111,52276,3532,3491,1053,0,204,2569,738,11352,1596,3453,988,28895,2612,267665,3928,203391,4414,177735,4611,25656,3090,18586,2346,4012,1254,3058,1447,40687,2629,10565,1856,100,111,27590,2281,2432,784,0,204,2150,703,6604,1320,1841,683,12992,1491,248880,4785,185316,5370,161120,5126,24196,2515,19952,2316,2589,919,1655,590,40882,4139,15137,2733,0,204,24686,2712,1059,512,0,204,419,247,4748,992,1612,702,15903,1723
0500000US24033,24033,"Prince George's County, Maryland",446551,5694,335254,6447,282754,7121,52500,4497,37205,3798,7764,1871,7531,1767,87156,5208,32584,3315,489,449,50907,3690,3176,828,0,204,795,561,10024,2030,3113,902,10209,1465,219060,3731,171767,4422,145084,4937,26683,2813,16635,2377,5069,1400,4979,1370,34727,3662,14889,2702,32,52,18307,2103,1499,541,0,204,543,429,5119,1438,2088,787,4816,1163,227491,4409,163487,4439,137670,4412,25817,2443,20570,2240,2695,881,2552,925,52429,3974,17695,2237,457,445,32600,2988,1677,621,0,204,252,201,4905,1159,1025,441,5393,1157
0500000US24043,24043,"Washington County, Maryland",66322,2646,60786,2456,54115,2329,6671,1321,5365,1166,737,405,569,487,840,549,777,547,0,204,10,24,53,71,0,204,35,58,1299,541,687,348,2675,797,34531,1966,31573,1854,28100,1802,3473,837,2591,770,489,317,393,293,603,478,550,472,0,204,0,204,53,71,0,204,35,58,825,443,317,229,1178,476,31791,1778,29213,1662,26015,1641,3198,909,2774,812,248,198,176,266,237,265,227,268,0,204,10,24,0,204,0,204,0,204,474,284,370,242,1497,624
0500000US24510,24510,"Baltimore city, Maryland",257758,6250,182427,7080,156400,6967,26027,3183,21441,3108,2037,702,2549,1043,45014,4489,37652,3711,458,294,4138,2026,2736,820,30,50,2098,696,18596,2654,3982,1066,5641,1203,120091,4102,86263,4617,74631,4235,11632,2034,9156,1885,980,498,1496,859,19467,2760,16460,2444,202,184,1485,895,1320,603,0,204,1450,576,8085,1668,1646,697,3180,1023,137667,4061,96164,4418,81769,4310,14395,2141,12285,2106,1057,506,1053,535,25547,2732,21192,2205,256,216,2653,1282,1416,535,30,50,648,390,10511,1691,2336,773,2461,596
0500000US25001,25001,"Barnstable County, Massachusetts",99985,3017,90153,3054,84904,3234,5249,1331,4103,1131,878,593,268,203,1898,756,1506,722,0,204,274,285,0,204,118,150,150,189,1898,690,892,482,4994,1147,49770,2095,44047,2155,41319,2283,2728,913,1991,742,609,433,128,144,1301,630,1073,593,0,204,192,237,0,204,36,61,110,180,1113,452,667,401,2532,794,50215,2082,46106,2038,43585,2135,2521,706,2112,637,269,276,140,163,597,419,433,414,0,204,82,97,0,204,82,135,40,66,785,476,225,173,2462,670
0500000US25003,25003,"Berkshire County, Massachusetts",59325,2307,52843,2117,48253,2358,4590,1061,3736,1031,700,418,154,150,545,328,352,280,0,204,150,170,43,59,0,204,523,352,2323,753,409,206,2682,742,29512,1611,26422,1584,24136,1695,2286,781,1969,784,243,201,74,75,192,168,91,138,0,204,58,82,43,59,0,204,373,250,1069,509,228,146,1228,540,29813,1501,26421,1351,24117,1516,2304,694,1767,627,457,275,80,94,353,270,261,251,0,204,92,99,0,204,0,204,150,187,1254,532,181,169,1454,469
0500000US25005,25005,"Bristol County, Massachusetts",259159,5284,235899,5311,210117,5802,25782,2856,19797,2875,3437,1500,2548,1039,5554,1326,1409,649,106,129,512,295,3390,997,137,226,360,340,6920,1491,2509,884,7917,1407,130171,3683,116895,3904,103253,4231,13642,1968,9481,1860,2430,963,1731,853,3102,957,521,384,106,129,201,194,2137,744,137,226,360,340,3788,1112,1533,793,4493,1106,128988,3628,119004,3462,106864,3681,12140,1953,10316,1885,1007,718,817,507,2452,778,888,465,0,204,311,218,1253,571,0,204,0,204,3132,838,976,446,3424,882
0500000US25009,25009,"Essex County, Massachusetts",360264,5670,302231,6373,273952,6322,28279,2541,22378,2227,3245,931,2656,689,20458,2406,8779,1511,46,79,2215,727,9418,1822,0,204,1116,544,13546,1908,5741,1479,17172,2474,182799,4162,153451,4539,139338,4363,14113,1751,11450,1580,1758,710,905,396,10536,1809,4499,1180,0,204,1400,602,4637,1118,0,204,884,522,6421,1310,3191,1027,8316,1566,177465,3674,148780,4527,134614,4580,14166,1672,10928,1477,1487,525,1751,590,9922,1215,4280,1022,46,79,815,352,4781,1127,0,204,232,187,7125,1279,2550,778,8856,1621
0500000US25013,25013,"Hampden County, Massachusetts",204100,4492,187580,3880,168032,3893,19548,2214,15184,1991,2976,1154,1388,705,4940,1454,4804,1447,24,43,112,189,0,204,0,204,303,249,3414,935,1579,865,6284,1519,100751,3105,91981,2812,81521,2792,10460,1540,8101,1333,1715,750,644,479,2559,1001,2423,988,24,43,112,189,0,204,0,204,225,218,2115,797,653,469,3218,903,103349,3328,95599,3180,86511,3142,9088,1400,7083,1259,1261,585,744,473,2381,788,2381,788,0,204,0,204,0,204,0,204,78,129,1299,498,926,702,3066,975
