GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:",Estimate; Drove alone,Margin of Error; Drove alone,Estimate; Carpooled:,Margin of Error; Carpooled:,Estimate; Carpooled: - In 2-person carpool,Margin of Error; Carpooled: - In 2-person carpool,Estimate; Carpooled: - In 3-person carpool,Margin of Error; Carpooled: - In 3-person carpool,Estimate; Carpooled: - In 4-or-more-person carpool,Margin of Error; Carpooled: - In 4-or-more-person carpool,Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,"Estimate; Taxicab, motorcycle, or other means","Margin of Error; Taxicab, motorcycle, or other means",Estimate; Worked at home,Margin of Error; Worked at home,Estimate; Male:,Margin of Error; Male:,"Estimate; Male: - Car, truck, or van:","Margin of Error; Male: - Car, truck, or van:","Estimate; Male: - Car, truck, or van: - Drove alone","Margin of Error; Male: - Car, truck, or van: - Drove alone","Estimate; Male: - Car, truck, or van: - Carpooled:","Margin of Error; Male: - Car, truck, or van: - Carpooled:","Estimate; Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Male: - Public transportation (excluding taxicab):,Margin of Error; Male: - Public transportation (excluding taxicab):,Estimate; Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Male: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Male: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Male: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Male: - Public transportation (excluding taxicab): - Railroad,Estimate; Male: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Male: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Male: - Bicycle,Margin of Error; Male: - Bicycle,Estimate; Male: - Walked,Margin of Error; Male: - Walked,"Estimate; Male: - Taxicab, motorcycle, or other means","Margin of Error; Male: - Taxicab, motorcycle, or other means",Estimate; Male: - Worked at home,Margin of Error; Male: - Worked at home,Estimate; Female:,Margin of Error; Female:,"Estimate; Female: - Car, truck, or van:","Margin of Error; Female: - Car, truck, or van:","Estimate; Female: - Car, truck, or van: - Drove alone","Margin of Error; Female: - Car, truck, or van: - Drove alone","Estimate; Female: - Car, truck, or van: - Carpooled:","Margin of Error; Female: - Car, truck, or van: - Carpooled:","Estimate; Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Female: - Public transportation (excluding taxicab):,Margin of Error; Female: - Public transportation (excluding taxicab):,Estimate; Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Female: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Female: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Female: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Female: - Public transportation (excluding taxicab): - Railroad,Estimate; Female: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Female: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Female: - Bicycle,Margin of Error; Female: - Bicycle,Estimate; Female: - Walked,Margin of Error; Female: - Walked,"Estimate; Female: - Taxicab, motorcycle, or other means","Margin of Error; Female: - Taxicab, motorcycle, or other means",Estimate; Female: - Worked at home,Margin of Error; Female: - Worked at home
0500000US01069,01069,"Houston County, Alabama",41220,1441,39389,1459,36644,1484,2745,525,2153,411,414,259,178,94,104,79,104,79,0,273,0,273,0,273,0,273,84,96,181,135,886,322,576,247,22022,955,20801,987,19528,984,1273,290,959,222,248,162,66,50,48,59,48,59,0,273,0,273,0,273,0,273,84,96,118,109,619,303,352,214,19198,877,18588,904,17116,902,1472,346,1194,298,166,130,112,65,56,54,56,54,0,273,0,273,0,273,0,273,0,273,63,73,267,163,224,107
0500000US01073,01073,"Jefferson County, Alabama",295090,5417,279942,5498,246974,5896,32968,3489,23703,2903,5727,1691,3538,1205,3189,1038,3189,1038,0,273,0,273,0,273,0,273,328,287,3950,1046,1274,545,6407,1345,150775,3756,142149,3856,125764,3930,16385,2160,12091,1756,2381,1098,1913,756,1323,742,1323,742,0,273,0,273,0,273,0,273,272,276,2436,843,1143,532,3452,984,144315,4427,137793,4277,121210,4329,16583,2352,11612,2037,3346,1116,1625,793,1866,772,1866,772,0,273,0,273,0,273,0,273,56,92,1514,678,131,109,2955,967
0500000US01081,01081,"Lee County, Alabama",59223,3053,54970,3105,48704,2655,6266,1300,5254,1225,753,365,259,258,280,202,280,202,0,273,0,273,0,273,0,273,571,351,1431,674,720,448,1251,569,31713,1820,29365,1888,25991,1729,3374,880,2863,826,384,288,127,148,121,134,121,134,0,273,0,273,0,273,0,273,408,305,906,441,596,431,317,284,27510,2124,25605,2060,22713,1860,2892,793,2391,765,369,241,132,215,159,147,159,147,0,273,0,273,0,273,0,273,163,173,525,488,124,102,934,464
0500000US01089,01089,"Madison County, Alabama",159663,4069,151081,4455,139329,4113,11752,2157,8840,1814,2218,980,694,438,591,376,533,366,0,273,0,273,0,273,58,95,117,146,2124,898,1949,763,3801,821,85806,2436,82184,2668,75403,2643,6781,1488,4411,1002,1728,889,642,414,202,193,144,166,0,273,0,273,0,273,58,95,117,146,1133,586,1022,423,1148,521,73857,2800,68897,3118,63926,2979,4971,1208,4429,1179,490,262,52,82,389,353,389,353,0,273,0,273,0,273,0,273,0,273,991,522,927,595,2653,706
0500000US01097,01097,"Mobile County, Alabama",172155,4125,164314,4257,146265,4491,18049,1954,13002,2129,3392,1190,1655,635,608,319,608,319,0,273,0,273,0,273,0,273,42,72,1950,784,1227,436,4014,1077,88524,2586,84269,2732,73873,3032,10396,1547,6995,1369,2621,1097,780,617,219,182,219,182,0,273,0,273,0,273,0,273,42,72,1081,516,894,403,2019,772,83631,3030,80045,3047,72392,3279,7653,1335,6007,1230,771,429,875,557,389,255,389,255,0,273,0,273,0,273,0,273,0,273,869,487,333,237,1995,616
0500000US01101,01101,"Montgomery County, Alabama",97444,3651,92548,3745,82393,3635,10155,1711,7725,1560,1859,802,571,330,966,611,966,611,0,273,0,273,0,273,0,273,302,322,1441,570,368,269,1819,670,49689,2594,46879,2624,41483,2681,5396,1320,4107,1226,1010,627,279,239,308,376,308,376,0,273,0,273,0,273,0,273,302,322,877,488,186,188,1137,553,47755,2277,45669,2479,40910,2347,4759,1006,3618,895,849,404,292,229,658,424,658,424,0,273,0,273,0,273,0,273,0,273,564,543,182,218,682,387
0500000US01125,01125,"Tuscaloosa County, Alabama",77726,3361,73876,3415,65870,3469,8006,1596,6259,1565,1038,600,709,480,542,356,542,356,0,273,0,273,0,273,0,273,53,91,828,481,831,531,1596,537,40594,2275,38934,2292,34849,2095,4085,1168,3261,1139,389,282,435,347,359,269,359,269,0,273,0,273,0,273,0,273,0,273,216,216,415,301,670,367,37132,2482,34942,2536,31021,2589,3921,991,2998,930,649,483,274,303,183,230,183,230,0,273,0,273,0,273,0,273,53,91,612,450,416,404,926,369
0500000US02020,02020,"Anchorage Municipality, Alaska",148333,3886,132822,4114,114233,4196,18589,2396,14344,2249,2929,1006,1316,610,2137,809,2137,809,0,244,0,244,0,244,0,244,965,554,4426,1328,3390,1162,4593,1078,77372,2720,68028,2829,58517,2773,9511,1466,6743,1354,1889,856,879,497,1102,617,1102,617,0,244,0,244,0,244,0,244,817,520,2893,958,2415,955,2117,780,70961,2646,64794,2676,55716,2678,9078,1578,7601,1600,1040,447,437,333,1035,502,1035,502,0,244,0,244,0,244,0,244,148,144,1533,684,975,538,2476,802
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",34095,2070,29400,2066,23906,2113,5494,1409,4656,1388,315,242,523,279,22,38,22,38,0,244,0,244,0,244,0,244,53,88,605,296,1859,842,2156,627,19462,1623,16005,1748,12668,1616,3337,967,2883,948,170,172,284,187,0,244,0,244,0,244,0,244,0,244,0,244,0,244,411,250,1668,805,1378,553,14633,1510,13395,1446,11238,1327,2157,871,1773,844,145,139,239,193,22,38,22,38,0,244,0,244,0,244,0,244,53,88,194,147,191,155,778,301
