GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,"Estimate; Taxicab, motorcycle, or other means","Margin of Error; Taxicab, motorcycle, or other means",Estimate; Worked at home,Margin of Error; Worked at home,Estimate; Male:,Margin of Error; Male:,"Estimate; Male: - Car, truck, or van:","Margin of Error; Male: - Car, truck, or van:","Estimate; Male: - Car, truck, or van: - Drove alone","Margin of Error; Male: - Car, truck, or van: - Drove alone","Estimate; Male: - Car, truck, or van: - Carpooled:","Margin of Error; Male: - Car, truck, or van: - Carpooled:","Estimate; Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Male: - Public transportation (excluding taxicab):,Margin of Error; Male: - Public transportation (excluding taxicab):,Estimate; Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Male: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Male: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Male: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Male: - Public transportation (excluding taxicab): - Railroad,Estimate; Male: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Male: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Male: - Bicycle,Margin of Error; Male: - Bicycle,Estimate; Male: - Walked,Margin of Error; Male: - Walked,"Estimate; Male: - Taxicab, motorcycle, or other means","Margin of Error; Male: - Taxicab, motorcycle, or other means",Estimate; Male: - Worked at home,Margin of Error; Male: - Worked at home,Estimate; Female:,Margin of Error; Female:,"Estimate; Female: - Car, truck, or van:","Margin of Error; Female: - Car, truck, or van:","Estimate; Female: - Car, truck, or van: - Drove alone","Margin of Error; Female: - Car, truck, or van: - Drove alone","Estimate; Female: - Car, truck, or van: - Carpooled:","Margin of Error; Female: - Car, truck, or van: - Carpooled:","Estimate; Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Female: - Public transportation (excluding taxicab):,Margin of Error; Female: - Public transportation (excluding taxicab):,Estimate; Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Female: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Female: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Female: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Female: - Public transportation (excluding taxicab): - Railroad,Estimate; Female: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Female: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Female: - Bicycle,Margin of Error; Female: - Bicycle,Estimate; Female: - Walked,Margin of Error; Female: - Walked,"Estimate; Female: - Taxicab, motorcycle, or other means","Margin of Error; Female: - Taxicab, motorcycle, or other means",Estimate; Female: - Worked at home,Margin of Error; Female: - Worked at home
0500000US01069,01069,"Houston County, Alabama",41768,1124,39898,1070,36437,1206,3461,640,2899,643,419,201,143,117,85,72,85,72,0,267,0,267,0,267,0,267,88,127,224,167,830,373,643,228,22426,670,21297,679,19475,791,1822,392,1570,392,190,129,62,70,28,41,28,41,0,267,0,267,0,267,0,267,88,127,121,116,467,224,425,176,19342,901,18601,849,16962,864,1639,408,1329,379,229,132,81,79,57,54,57,54,0,267,0,267,0,267,0,267,0,267,103,94,363,260,218,131
0500000US01073,01073,"Jefferson County, Alabama",295385,5514,281753,5573,249698,5325,32055,3243,24911,2912,3907,963,3237,1079,2554,1006,2554,1006,0,267,0,267,0,267,0,267,297,253,2815,868,1767,649,6199,1229,152006,3705,144429,3938,127495,3724,16934,2082,12871,1931,1760,650,2303,797,1249,890,1249,890,0,267,0,267,0,267,0,267,297,253,1810,680,1176,537,3045,746,143379,3689,137324,3599,122203,3574,15121,1981,12040,1789,2147,755,934,646,1305,541,1305,541,0,267,0,267,0,267,0,267,0,267,1005,454,591,333,3154,821
0500000US01081,01081,"Lee County, Alabama",59887,2267,55677,2254,48582,2513,7095,1504,5711,1279,832,635,552,514,427,209,380,197,0,267,47,65,0,267,0,267,239,172,681,372,682,400,2181,785,33078,1647,30633,1739,27180,1874,3453,967,2636,754,467,524,350,474,258,159,211,141,0,267,47,65,0,267,0,267,201,155,402,206,466,330,1118,621,26809,1484,25044,1498,21402,1514,3642,892,3075,796,365,244,202,187,169,122,169,122,0,267,0,267,0,267,0,267,38,64,279,211,216,173,1063,442
0500000US01097,01097,"Mobile County, Alabama",164366,4468,153866,4477,136307,4267,17559,2762,13672,2251,2306,822,1581,662,366,238,366,238,0,267,0,267,0,267,0,267,436,494,2161,983,2109,897,5428,1002,86555,3364,79216,3354,68686,3320,10530,2142,8390,1816,1171,604,969,548,121,142,121,142,0,267,0,267,0,267,0,267,436,494,1302,703,1808,879,3672,788,77811,2464,74650,2555,67621,2423,7029,1382,5282,1175,1135,559,612,355,245,166,245,166,0,267,0,267,0,267,0,267,0,267,859,610,301,224,1756,589
0500000US01101,01101,"Montgomery County, Alabama",98875,3338,93225,3194,82153,3367,11072,1816,8762,1559,1444,555,866,563,773,418,773,418,0,267,0,267,0,267,0,267,31,37,787,329,531,375,3528,1013,50602,2019,47869,2091,42069,2237,5800,1179,4895,1234,674,363,231,185,221,161,221,161,0,267,0,267,0,267,0,267,31,37,500,277,348,328,1633,680,48273,2227,45356,2058,40084,2141,5272,1105,3867,892,770,488,635,444,552,372,552,372,0,267,0,267,0,267,0,267,0,267,287,175,183,190,1895,712
0500000US01125,01125,"Tuscaloosa County, Alabama",80314,2964,74776,3041,66826,3038,7950,1477,5851,1296,1504,806,595,372,641,457,641,457,0,267,0,267,0,267,0,267,388,499,1506,574,1195,584,1808,665,42702,1744,39944,2047,35384,2096,4560,1108,3387,966,938,684,235,197,290,326,290,326,0,267,0,267,0,267,0,267,388,499,578,279,716,429,786,429,37612,2037,34832,1900,31442,1857,3390,910,2464,761,566,371,360,324,351,276,351,276,0,267,0,267,0,267,0,267,0,267,928,545,479,345,1022,488
0500000US02020,02020,"Anchorage Municipality, Alaska",140618,3665,124180,3863,106916,4308,17264,2667,14180,2272,1354,680,1730,969,1884,760,1884,760,0,237,0,237,0,237,0,237,1896,1231,3772,999,2734,732,6152,1385,77784,2450,67706,2517,58838,2890,8868,1808,6941,1354,855,644,1072,744,944,548,944,548,0,237,0,237,0,237,0,237,1254,1016,2646,849,1973,585,3261,969,62834,2357,56474,2476,48078,2626,8396,1439,7239,1415,499,242,658,679,940,548,940,548,0,237,0,237,0,237,0,237,642,478,1126,411,761,364,2891,791
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",48695,1712,40424,1903,33844,2124,6580,1489,5684,1395,683,461,213,274,486,297,486,297,0,237,0,237,0,237,0,237,706,396,2372,858,493,327,4214,693,28650,1431,22258,1414,18347,1529,3911,1003,3289,928,489,404,133,174,211,205,211,205,0,237,0,237,0,237,0,237,395,266,1949,794,306,232,3531,584,20045,1179,18166,1292,15497,1410,2669,812,2395,769,194,150,80,141,275,258,275,258,0,237,0,237,0,237,0,237,311,267,423,299,187,245,683,389
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",36993,1852,31739,1996,25131,1909,6608,1384,4473,1130,1166,548,969,574,275,176,167,115,0,237,61,105,47,79,0,237,80,92,1123,482,1566,496,2210,650,21529,1216,18151,1378,13967,1438,4184,1054,2511,824,990,514,683,527,149,143,41,52,0,237,61,105,47,79,0,237,30,38,504,300,1276,382,1419,598,15464,1348,13588,1405,11164,1426,2424,664,1962,554,176,122,286,242,126,108,126,108,0,237,0,237,0,237,0,237,50,83,619,367,290,240,791,342
0500000US04005,04005,"Coconino County, Arizona",64677,2580,52205,2975,44181,2606,8024,1671,6675,1548,790,454,559,406,325,330,325,330,0,292,0,292,0,292,0,292,1573,744,4725,1160,1342,603,4507,1020,33581,1634,27068,1877,23701,1961,3367,809,2693,678,387,348,287,300,77,133,77,133,0,292,0,292,0,292,0,292,906,628,2059,739,1211,582,2260,720,31096,2094,25137,2157,20480,1768,4657,1417,3982,1344,403,310,272,278,248,275,248,275,0,292,0,292,0,292,0,292,667,456,2666,954,131,167,2247,708
0500000US04013,04013,"Maricopa County, Arizona",1777394,13321,1567368,16323,1327817,15640,239551,10048,184456,9057,28986,4004,26109,4828,46583,5088,46103,5096,94,110,330,268,0,292,56,92,13297,2524,31203,3901,31547,3339,87396,5938,1008227,9138,885724,11462,742104,12225,143620,8171,104180,6649,19739,3418,19701,4595,23656,3138,23282,3141,94,110,280,254,0,292,0,292,10934,2395,18407,3424,24316,2988,45190,3973,769167,7732,681644,9054,585713,8736,95931,5170,80276,4740,9247,1776,6408,1406,22927,3641,22821,3645,0,292,50,83,0,292,56,92,2363,854,12796,1857,7231,1401,42206,3155
0500000US04019,04019,"Pima County, Arizona",416420,6523,363658,7574,313852,8386,49806,4125,39280,4083,6815,1362,3711,1129,9542,1940,9542,1940,0,292,0,292,0,292,0,292,4914,1359,11848,2093,6958,1492,19500,2286,225019,3977,196165,4668,168160,5187,28005,2878,21451,2782,3958,1009,2596,921,4479,1440,4479,1440,0,292,0,292,0,292,0,292,3769,1227,6803,1669,4310,1204,9493,1530,191401,5105,167493,5196,145692,5172,21801,2822,17829,2594,2857,894,1115,458,5063,1380,5063,1380,0,292,0,292,0,292,0,292,1145,509,5045,1221,2648,1014,10007,1647
0500000US04021,04021,"Pinal County, Arizona",118778,3645,107255,3309,88435,3256,18820,2636,16064,2582,1458,725,1298,641,430,487,430,487,0,292,0,292,0,292,0,292,704,578,3054,1316,2244,995,5091,1231,69225,1853,61427,2247,49957,2269,11470,1869,9930,1737,621,479,919,522,350,468,350,468,0,292,0,292,0,292,0,292,704,578,2186,1129,2069,985,2489,833,49553,2813,45828,2806,38478,2614,7350,1653,6134,1591,837,402,379,278,80,136,80,136,0,292,0,292,0,292,0,292,0,292,868,611,175,174,2602,776
0500000US04027,04027,"Yuma County, Arizona",71440,2563,64748,2842,55076,3307,9672,1873,7077,1796,1641,995,954,565,716,606,716,606,0,292,0,292,0,292,0,292,85,106,2543,795,1079,543,2269,747,39511,1534,35355,1611,30273,1778,5082,1120,3599,1053,872,819,611,388,553,462,553,462,0,292,0,292,0,292,0,292,67,99,1769,597,859,487,908,452,31929,2057,29393,2111,24803,2328,4590,1182,3478,980,769,470,343,360,163,189,163,189,0,292,0,292,0,292,0,292,18,32,774,408,220,229,1361,547
0500000US05007,05007,"Benton County, Arkansas",90319,2545,83182,2733,73802,2788,9380,1678,7154,1520,1513,776,713,410,148,206,148,206,0,267,0,267,0,267,0,267,237,318,1905,732,1776,1105,3071,871,49651,2037,44838,2154,39371,2075,5467,1229,4102,1011,1187,756,178,160,148,206,148,206,0,267,0,267,0,267,0,267,237,318,1292,669,1048,876,2088,706,40668,1763,38344,1913,34431,1834,3913,930,3052,813,326,217,535,355,0,267,0,267,0,267,0,267,0,267,0,267,0,267,613,305,728,663,983,436
0500000US05119,05119,"Pulaski County, Arkansas",174486,3908,161968,4023,144878,4231,17090,2652,13490,2052,2117,1151,1483,747,2376,991,2315,969,0,267,0,267,0,267,61,102,190,179,2568,792,1809,1065,5575,1530,89725,2311,82552,2587,73783,3023,8769,1751,7018,1477,984,714,767,483,1228,690,1228,690,0,267,0,267,0,267,0,267,190,179,1835,628,1134,620,2786,983,84761,2945,79416,3009,71095,2835,8321,1478,6472,1120,1133,633,716,468,1148,595,1087,562,0,267,0,267,0,267,61,102,0,267,733,506,675,670,2789,1020
